_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G d_arcsec
0.642717 0.480419 -0.426946 131.6 "Gaia DR2 359719836210738432" 28.91118584581 2.9807 52.61040807017 1.5051 1635721458409799680 359719836210738432 65520218 2015.5 "" "" "" "" "" "" "" -0.3205 "" "" "" "" "" "" "" "" "" 70 0 70 0 2.0603 90.6 2.047 1.0 3 0 0.0335 "" "" 0.085 8 7 14.156 0 10 0 79 183.0 1.954 93.642 20.032153597117407 0.011733637527683886 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 132.72047314707 -9.03677643459 47.75944789779 37.74786049743 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.9111858458 2.9807 52.6104080702 1.5051 "" "" 2.1010
0.608342 0.417888 -0.442097 136.6 "Gaia DR2 359721451121297408" 28.80797596525 1.5706 52.59590213772 2.9274 1635721458409799680 359721451121297408 1064951434 2015.5 "" "" "" "" "" "" "" -0.3314 "" "" "" "" "" "" "" "" "" 83 0 78 5 0.3004 76.0 4.037 2.0 3 0 0.0157 "" "" -0.146 10 7 9.1625 0 10 0 81 114.5 2.065 55.433 20.54176565475352 0.019668665244132136 4 146.2 14.39 10.164 19.9387 0.1068 4 139.1 13.71 10.148 19.4033 0.1070 2.493 0 0.5354645060338541 -0.6030311415110532 1.1385 "" "" 0 "" "" "" NOT_AVAILABLE 132.66263844099 -9.06639860875 47.68019341486 37.76245835801 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.8079759653 1.5706 52.5959021377 2.9274 0.1512057055193513 0.10862615860338885 6.4207
0.57003 0.44497 -0.356281 128.7 "Gaia DR2 359723272189072896" 28.85399788697 0.7135 52.6814451956 0.7781 1635721458409799680 359723272189072896 156807524 2015.5 -0.3281 0.9781 -0.3355 -4.972 2.425 -2.855 2.496 -0.2681 0.1438 -0.4392 0.2612 -0.3027 0.3501 -0.1733 -0.3169 -0.1137 -0.1747 123 0 123 0 2.3895 157.83 2.065 1.6 31 0 0.0377 1.5242 0.2173 -0.157 14 9 2.3799 0 14 0 123 165.0 1.639 100.638 20.144887555962192 0.010938038694255497 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 132.66855652014 -8.97660206087 47.75965167865 37.82691875669 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.8540331982 37.599 52.6814574868 38.7024 "" "" 2.8424
0.504633 0.392947 -0.316618 128.9 "Gaia DR2 359724337336429440" 28.76878062134 0.4317 52.72160632944 0.4258 1635721458409799680 359724337336429440 201742014 2015.5 0.4583 0.5623 0.8150 -1.800 1.235 1.150 0.829 -0.2072 0.3624 -0.3754 0.2306 -0.3220 0.2532 0.0213 -0.2910 0.3022 -0.2016 150 0 150 0 2.3797 188.62 1.448 2.2 31 0 0.09 1.5896 0.1251 -0.185 17 10 1.1301 0 18 0 159 279.5 2.279 122.646 19.57252312086407 0.009033922360642927 3 719.8 74.25 9.695 18.2083 0.1120 3 608.6 43.56 13.971 17.8011 0.0777 4.753 0 0.40729065835025935 -1.3641980030687435 1.7714 "" "" 0 "" "" "" NOT_AVAILABLE 132.6078396438 -8.95047846923 47.72342021805 37.88575029479 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.7687934186 19.1528 52.721601378 12.8618 0.13633776251536742 0.11236698083233788 2.2613
0.483192 0.403269 -0.266174 123.4 "Gaia DR2 359724852734945152" 28.78659418978 2.3116 52.77195309136 1.6705 1635721458409799680 359724852734945152 521331644 2015.5 "" "" "" "" "" "" "" -0.6933 "" "" "" "" "" "" "" "" "" 81 0 81 0 1.0757 89.3 0.0 0.0 3 0 0.0281 "" "" -0.254 10 8 8.323 0 11 0 89 111.5 2.261 49.307 20.57050498528938 0.022094009033991207 7 101.1 18.46 5.474 20.3399 0.1984 6 131.4 14.73 8.917 19.4655 0.1218 2.085 0 0.8744575680190714 -0.23055319381570172 1.1049 "" "" 0 "" "" "" NOT_AVAILABLE 132.60582426807 -8.89902838923 47.76387598468 37.92615031462 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.7865941898 2.3116 52.7719530914 1.6705 0.232759608910137 0.19958847940738916 3.1483
0.513923 0.477271 -0.190601 111.8 "Gaia DR2 360100713910543360" 28.91028053386 0.2203 52.84677096059 0.1962 1635721458409799680 360100713910543360 455710329 2015.5 0.2604 0.2324 1.1205 -1.087 0.725 -1.131 0.405 -0.1238 0.0077 -0.5836 0.2852 -0.2287 0.3317 0.1252 -0.0771 0.0723 -0.1820 166 0 164 2 3.5355 229.89 0.818 3.2 31 0 0.3993 1.5090 0.0562 -0.142 19 11 0.66052 0 21 0 179 840.5 2.692 312.183 18.37700406420562 0.003916011253435624 11 994 138.4 7.184 17.8579 0.1511 9 1079 94.52 11.420 17.1790 0.0951 2.467 0 0.6788458640584345 -0.5191136919180508 1.1980 "" "" 0 "" "" "" NOT_AVAILABLE 132.66033799581 -8.80800040137 47.8908404317 37.96023950132 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.9102882849 11.2339 52.8467758301 6.2881 0.17856067318782542 0.15118037049124042 2.4811
0.486882 0.447311 -0.192267 113.3 "Gaia DR2 360100851352728960" 28.86064711028 2.6527 52.84542422254 1.2785 1635721458409799680 360100851352728960 500720886 2015.5 "" "" "" "" "" "" "" -0.6557 "" "" "" "" "" "" "" "" "" 69 0 69 0 -0.1757 61.38 0.0 0.0 3 0 0.04 "" "" -0.462 8 5 7.8967 0 10 0 86 146.4 2.79 52.487 20.274473121260556 0.02076506615676891 4 106.2 21.74 4.883 20.2864 0.2223 4 202.8 13.73 14.763 18.9944 0.0735 2.110 0 1.2920047511170125 0.011922354071586483 1.2800 "" "" 0 "" "" "" NOT_AVAILABLE 132.63129485324 -8.81675811577 47.85597423683 37.97227436454 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.8606471103 2.6527 52.8454242225 1.2785 0.23420166548798488 0.2233141911133405 6.3921
0.497189 0.466961 -0.170719 110.1 "Gaia DR2 360100920068969856" 28.8935637421 1.3494 52.86676334991 0.6527 1635721458409799680 360100920068969856 1293384048 2015.5 "" "" "" "" "" "" "" -0.3784 "" "" "" "" "" "" "" "" "" 124 0 124 0 2.3207 157.71 2.068 1.9 3 0 0.0469 "" "" -0.324 14 8 4.8708 0 16 0 142 179.4 1.966 91.236 20.05378336234175 0.012035434322027689 8 126.8 20.84 6.082 20.0938 0.1785 8 215.5 18.89 11.409 18.9281 0.0952 1.908 0 1.1656928043472092 0.03998977952238292 1.1257 "" "" 0 "" "" "" NOT_AVAILABLE 132.64541048468 -8.79114917582 47.89055621413 37.98263435372 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.8935637421 1.3494 52.8667633499 0.6527 0.20230295905385096 0.17891749715205083 2.8225
0.476014 0.450522 -0.153687 108.8 "Gaia DR2 360101023151425792" 28.86662752727 9.678 52.88396879129 5.5447 1635721458409799680 360101023151425792 743476198 2015.5 "" "" "" "" "" "" "" -0.9438 "" "" "" "" "" "" "" "" "" 60 0 60 0 0.6893 61.83 2.92 0.44 3 0 0.0086 "" "" -0.455 7 5 24.183 0 7 0 60 75.94 1.778 42.711 20.98718061562383 0.02548465422150968 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 132.62514934607 -8.7785241678 47.88170040914 38.00525342466 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.8666275273 9.678 52.8839687913 5.5447 "" "" 2.2875
0.483957 0.461024 -0.147209 107.7 "Gaia DR2 360101023150270592" 28.88414501786 7.7674 52.89033556572 4.6113 1635721458409799680 360101023150270592 1575808740 2015.5 "" "" "" "" "" "" "" -0.9115 "" "" "" "" "" "" "" "" "" 61 0 61 0 -0.3624 51.62 0.0 0.0 3 0 0.0117 "" "" -0.626 7 4 3435.1 0 8 0 71 83.92 1.719 48.816 20.87878805954217 0.022313776014331342 7 92.37 11.98 7.708 20.4376 0.1409 8 141.2 12.49 11.303 19.3873 0.0961 2.783 0 1.0503598782818813 -0.4411918654475606 1.4915 "" "" 0 "" "" "" NOT_AVAILABLE 132.63390834509 -8.76973087172 47.89730482086 38.00629180631 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 28.8841450179 7.7674 52.8903355657 4.6113 0.17050555553936192 0.14261710146801215 4.7009
