_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G d_arcsec
0.683613 0.49791 -0.468415 133.3 "Gaia DR2 3444468702292383104" 85.26585626402 2.3775 30.02853746078 1.791 1635721458409799680 3444468702292383104 732956165 2015.5 "" "" "" "" "" "" "" -0.9129 "" "" "" "" "" "" "" "" "" 88 0 87 1 0.3735 86.19 0.0 0.0 3 0 0.042 "" "" -0.284 10 7 4.8173 0 10 0 88 171.1 1.841 92.897 20.10559228432633 0.011825408094702543 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 178.54963650266 -0.27014817806 85.87461275531 6.6570260479 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 85.265856264 2.3775 30.0285374608 1.791 "" "" 2.1281
0.473745 0.221301 -0.41888 152.2 "Gaia DR2 3444495709046413696" 84.9464962794 1.8943 30.07908543672 1.4409 1635721458409799680 3444495709046413696 811532004 2015.5 -1.4468 1.0446 -1.3850 -0.480 2.709 -1.063 1.944 -0.8731 0.2159 -0.7391 0.7812 -0.3774 0.6974 -0.8158 0.0094 0.2748 -0.7406 112 0 112 0 1.8954 136.41 0.726 0.17 31 0 0.0388 "" "" -0.294 13 8 3.4306 0 13 0 112 139.7 1.48 94.346 20.325642181367904 0.011647931640538069 4 59.07 16.55 3.569 20.9230 0.3042 4 470.9 112.1 4.200 18.0795 0.2585 3.795 0 2.8435332741915644 0.5973771385277189 2.2461 "" "" 0 "" "" "" NOT_AVAILABLE 178.360116654 -0.47763054769 85.5981970712 6.71698889808 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 84.9464986676 42.0365 30.0790900116 30.1699 0.3992045995854683 0.304433710045033 3.6888
0.415993 -0.006707 -0.415939 180.9 "Gaia DR2 3444507249625316736" 84.68300687875 11.1354 30.08227535732 8.4151 1635721458409799680 3444507249625316736 268709004 2015.5 "" "" "" "" "" "" "" -0.9834 "" "" "" "" "" "" "" "" "" 60 0 60 0 3.0177 92.16 5.593 3.5 3 0 0.0126 "" "" -0.603 7 5 61.548 0 7 0 60 102.7 1.483 69.255 20.65915674423578 0.01577974841988722 4 120.1 6.996 17.167 20.1526 0.0632 7 316.5 29.98 10.558 18.5109 0.1028 4.250 0 1.641735776000342 -0.5065238231884912 2.1482 "" "" 0 "" "" "" NOT_AVAILABLE 178.23593647779 -0.66887975451 85.36888255106 6.72843004226 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 84.6830068787 11.1354 30.0822753573 8.4151 0.12075345508427993 0.06520027422302989 3.6792
0.36334 0.105773 -0.347603 163.1 "Gaia DR2 3444508731388358784" 84.81307990213 0.0719 30.15055469949 0.0628 1635721458409799680 3444508731388358784 1224554833 2015.5 3.0705 0.0954 32.1776 -11.602 0.123 -1.600 0.095 -0.2938 0.4614 -0.0461 0.3295 -0.5932 0.0207 -0.4631 0.2221 0.3748 0.1303 106 106 105 1 8.1407 263.68 0.0 0.0 31 1 72.7208 1.6957 0.0159 -0.052 12 10 0.068853 0 13 0 106 16730000.0 8637.0 1937.054 7.6296601475940165 0.001885254077959884 12 1.119e+07 2.47e+04 453.217 7.7289 0.0024 11 8.235e+06 1.699e+04 484.678 7.4728 0.0022 1.161 0 0.2561957523376579 0.09927659597920702 0.1568 "" "" 0 "" "" "" NOT_AVAILABLE 178.23817787146 -0.53728766223 85.48462935174 6.79253806764 100001 8330.50 8020.33 8820.00 0.7397 0.2834 1.1073 0.3615 0.1950 0.5193 "" "" "" "" "" "" "" 84.8131376728 1.9019 30.1505615896 1.4664 0.004040767638366359 0.003354646767671376 2.1396
0.316516 0.105645 -0.298365 160.5 "Gaia DR2 3444510002696697600" 84.81299260913 2.0156 30.19979243748 2.7956 1635721458409799680 3444510002696697600 609505419 2015.5 "" "" "" "" "" "" "" 0.9121 "" "" "" "" "" "" "" "" "" 44 0 44 0 1.5931 54.0 0.945 0.84 3 0 0.1603 "" "" 0.149 5 4 2691.2 0 6 0 43 428.6 4.276 100.241 19.108142945302838 0.010979820922785885 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 178.19646891642 -0.51111765555 85.48634935903 6.84174623562 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 84.8129926091 2.0156 30.1997924375 2.7956 "" "" 2.5098
0.401261 -0.049911 -0.398145 187.1 "Gaia DR2 3444510449375306624" 84.63306818407 0.3503 30.10005704242 0.2888 1635721458409799680 3444510449375306624 1602903422 2015.5 -1.1248 0.4089 -2.7510 1.289 0.698 -8.322 0.531 -0.0277 0.2570 -0.0342 0.1380 -0.3221 0.0844 -0.3527 -0.0123 0.3628 -0.0523 134 0 130 4 2.7364 172.62 1.442 4.8 31 0 0.1798 1.4680 0.0856 -0.058 16 10 0.61492 0 16 0 134 557.5 3.261 170.939 18.82280731498203 0.0066016565432007466 3 428.5 55.28 7.751 18.7716 0.1401 2 1075 2.023 531.289 17.1838 0.0020 2.696 0 1.587790649746303 -0.05123373115034724 1.6390 "" "" 0 "" "" "" NOT_AVAILABLE 178.19782798941 -0.69591866479 85.3260715937 6.74781061893 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 84.6330617708 10.8198 30.1000928713 8.2378 0.14011015458548098 0.14023783778955806 2.1358
0.281878 -0.06086 -0.275229 192.5 "Gaia DR2 3444512476598534016" 84.62032477109 1.5758 30.22296659075 1.54 1635721458409799680 3444512476598534016 1573099881 2015.5 -2.3094 2.3210 -0.9950 -4.904 3.017 -2.959 2.278 -0.4417 0.3187 0.0070 0.1854 -0.7294 -0.1270 -0.5051 0.2036 0.5177 -0.2212 106 0 103 3 5.1014 187.15 5.568 6.0 31 0 0.0152 1.1527 0.3897 -0.211 12 8 2.7233 0 13 0 101 125.4 1.852 67.688 20.443002536062448 0.016140753179522228 7 104.3 20.47 5.098 20.3052 0.2130 6 251.5 11.43 22.003 18.7604 0.0493 2.839 0 1.5448905696134005 -0.13772957892133064 1.6826 "" "" 0 "" "" "" NOT_AVAILABLE 178.08803165253 -0.63957544405 85.31962661807 6.8710469856 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 84.620349205 46.792 30.222979333 35.348 0.21863908090563688 0.21360026588916153 3.4595
0.276941 0.061602 -0.270003 167.1 "Gaia DR2 3444513198153232384" 84.76205439642 5.657 30.22819244134 4.0908 1635721458409799680 3444513198153232384 187367973 2015.5 "" "" "" "" "" "" "" -0.8341 "" "" "" "" "" "" "" "" "" 38 0 38 0 1.0278 41.29 3.921 0.9 3 0 0.0129 "" "" -0.428 5 5 31.034 0 5 0 38 79.23 2.542 31.164 20.941175814181463 0.03488649607037929 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 178.14897560138 -0.53322530289 85.44308443606 6.87172960204 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 84.7620543964 5.657 30.2281924413 4.0908 "" "" 2.6610
0.200692 0.0476 -0.194965 166.3 "Gaia DR2 3444514499530278016" 84.74589131365 4.3932 30.30323820393 3.0483 1635721458409799680 3444514499530278016 1036928831 2015.5 "" "" "" "" "" "" "" -0.8864 "" "" "" "" "" "" "" "" "" 69 0 68 1 0.2655 65.34 2.522 0.56 3 0 0.015 "" "" -0.303 8 6 23.735 0 8 0 69 93.46 1.905 49.067 20.761847179717595 0.02220046101771031 2 113.3 50.71 2.235 20.2155 0.4858 2 131.2 48.26 2.719 19.4669 0.3993 2.617 1 0.7485421079708523 -0.5464051654002482 1.2949 "" "" 0 "" "" "" NOT_AVAILABLE 178.07804307242 -0.50501647826 85.4318012091 6.94723642049 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 84.7458913136 4.3932 30.3032382039 3.0483 0.6288402687364166 0.48631228992859943 2.2414
0.567438 0.375815 -0.425145 138.5 "Gaia DR2 3444515500255690624" 85.12502583966 12.7338 30.07234947845 10.3794 1635721458409799680 3444515500255690624 168588421 2015.5 "" "" "" "" "" "" "" -0.969 "" "" "" "" "" "" "" "" "" 50 0 50 0 2.6906 74.72 6.923 2.8 3 0 0.009 "" "" -0.605 6 4 883.92 0 6 0 50 81.85 1.602 51.09 20.90584005328758 0.021327612029785427 2 155.5 104.3 1.490 19.8723 0.7287 2 154.1 37.16 4.148 19.2922 0.2618 3.782 1 0.5801712751063377 -1.0334867586010503 1.6136 "" "" 0 "" "" "" NOT_AVAILABLE 178.44788147721 -0.35030730948 85.75342739949 6.70490248134 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 85.1250258397 12.7338 30.0723494784 10.3794 0.7742424198560496 0.7289565041586066 5.0081
